id,value,ts,x,y,bs
11,10930,1411321445,2,3,2
11,10318,1411321446,2,4,2
11,10595,1411321447,2,3,2
11,10972,1411321448,2,4,2
11,7706,1411321449,2,3,2
11,6756,1411321450,2,3,2
11,9092,1411321451,2,4,2
11,10551,1411321452,1,4,1
11,9722,1411321453,2,4,2
11,10913,1411321454,1,4,1
22,11151,1411321455,2,4,2
22,8186,1411321456,1,3,1
22,6422,1411321457,2,4,2
22,6337,1411321458,2,4,2
22,11649,1411321459,1,3,1
22,11652,1411321460,1,4,1
22,10310,1411321461,2,3,2
22,12043,1411321462,2,3,2
22,7937,1411321463,2,3,2
22,6476,1411321464,2,4,2
33,9662,1411321465,2,4,2
33,9570,1411321466,2,4,2
33,9981,1411321467,1,4,1
33,9331,1411321468,1,4,1
33,9449,1411321469,2,4,2
33,6773,1411321470,1,3,1
33,6304,1411321471,1,3,1
33,9355,1411321472,1,4,1
33,10477,1411321473,1,3,1
33,10148,1411321474,1,3,1
44,10395,1411321475,1,3,1
44,11261,1411321476,1,3,1
44,8713,1411321477,1,3,1
44,7299,1411321478,1,3,1
44,10424,1411321479,2,4,2
44,10795,1411321480,2,4,2
44,11069,1411321481,2,3,2
44,11602,1411321482,1,4,1
44,11427,1411321483,1,4,1
44,9095,1411321484,1,4,1
55,7707,1411321485,1,4,1
55,10767,1411321486,2,3,2
55,12136,1411321487,2,4,2
55,12812,1411321488,1,4,1
55,12006,1411321489,2,4,2
55,12528,1411321490,2,4,2
55,10329,1411321491,1,3,1
55,7818,1411321492,2,4,2
55,11719,1411321493,2,3,2
55,11683,1411321494,1,4,1
66,12603,1411321495,1,3,1
66,11495,1411321496,2,3,2
66,13670,1411321497,2,3,2
66,11337,1411321498,2,4,2
66,10232,1411321499,2,3,2
66,13261,1411321500,1,3,1
66,13230,1411321501,2,4,2
66,15535,1411321502,1,4,1
66,16837,1411321503,1,3,1
66,19598,1411321504,1,4,1
77,14823,1411321505,2,4,2
77,11622,1411321506,1,3,1
77,19391,1411321507,1,3,1
77,18177,1411321508,2,4,2
77,19994,1411321509,1,3,1
77,14723,1411321510,1,4,1
77,15694,1411321511,1,3,1
77,13248,1411321512,2,3,2
77,9543,1411321513,1,3,1
77,12872,1411321514,2,4,2
88,13101,1411321515,2,3,2
88,15053,1411321516,2,3,2
88,12619,1411321517,1,3,1
88,13749,1411321518,2,4,2
88,10228,1411321519,2,4,2
88,9725,1411321520,1,3,1
88,14729,1411321521,1,4,1
88,12518,1411321522,2,3,2
88,14564,1411321523,1,4,1
88,15085,1411321524,2,3,2
99,14722,1411321525,1,3,1
99,11999,1411321526,1,3,1
99,9390,1411321527,1,4,1
99,13481,1411321528,1,4,1
99,14795,1411321529,1,3,1
99,15845,1411321530,2,4,2
99,15271,1411321531,1,3,1
99,14686,1411321532,2,4,2
99,11054,1411321533,2,4,2
99,10395,1411321534,1,4,1
1010,681.4555328,1411321535,2,4,2
1010,218.4670961,1411321536,2,4,2
1010,827.0497444,1411321537,1,3,1
1010,436.9451283,1411321538,1,3,1
1010,402.4065815,1411321539,2,3,2
1010,448.5401593,1411321540,1,3,1
1010,835.589536,1411321541,2,3,2
1010,226.6694547,1411321542,2,4,2
1010,789.0139427,1411321543,2,4,2
1010,585.2264703,1411321544,1,3,1
